Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-00029-7501,No,1002-R1,48 BEAVER STREET,FINANCIAL,R9-CONDOMINIUM,40,1920,65396,"$1,493,000 ",$23 ,"$594,600 ",$9 ,"$898,400 ","$6,573,000 ",$101 ,NA,1-00029-7501,1000297501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00029-7503,No,1541-R1,21 SOUTH WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,31,1900,20308,"$854,154 ",$42 ,"$291,217 ",$14 ,"$562,937 ","$3,751,007 ",$185 ,NA,1-00029-7503,1000297503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00031-7501,No,1836-R1,75 WALL STREET,FINANCIAL,R4-CONDOMINIUM,347,1987,422833,"$19,420,720 ",$46 ,"$5,019,028 ",$12 ,"$14,401,692 ","$83,690,005 ",$198 ,NA,1-00031-7501,1000317501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00039-7501,No,0122-R1,164 PEARL STREET,FINANCIAL,R4-CONDOMINIUM,121,1956,109468,"$4,199,192 ",$38 ,"$1,321,279 ",$12 ,"$2,877,913 ","$21,777,997 ",$199 ,NA,1-00039-7501,1000397501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00041-7501,No,1054-R1,50 PINE STREET,FINANCIAL,R4-CONDOMINIUM,20,1902,39607,"$1,644,087 ",$42 ,"$466,967 ",$12 ,"$1,177,120 ","$8,886,999 ",$224 ,NA,1-00041-7501,1000417501,981880.9,196841.2,INITIAL_INSP,PO417825,3/5/12,Passed Inspection,INITIAL_INSP,PO239188,2/14/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00041-7503,No,1186-R1,56 PINE STREET,FINANCIAL,R4-CONDOMINIUM,90,1893,73507,"$2,563,189 ",$35 ,"$784,320 ",$11 ,"$1,778,869 ","$13,165,001 ",$179 ,NA,1-00041-7503,1000417503,981940.8,196820.5,INITIAL_INSP,PO417827,3/5/12,Passed Inspection,INITIAL_INSP,PO239186,2/14/11,Passed Inspection,INITIAL_INSP,PO51052,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00044-7501,No,1853-R1,18 PINE STREET,FINANCIAL,R4-CONDOMINIUM,408,1928,548976,"$23,210,705 ",$42 ,"$5,769,738 ",$11 ,"$17,440,967 ","$118,799,990 ",$216 ,NA,1-00044-7501,1000447501,981574.2,197114.4,INITIAL_INSP,PO417731,3/8/12,Passed Inspection,INITIAL_INSP,PO239177,2/14/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00052-7501,No,0947-R1,112 LIBERTY STREET,FINANCIAL,RR-CONDOMINIUM,13,1900,21069,"$461,000 ",$22 ,"$188,000 ",$9 ,"$273,000 ","$1,875,000 ",$89 ,NA,1-00052-7501,1000527501,980899.7,197806.7,INITIAL_INSP,PO417929,3/16/12,Passed Inspection,INITIAL_INSP,PO234518,2/10/11,Passed Inspection,INITIAL_INSP,PO46931,1/14/10,Passed Inspection,NA,NA,NA,NA
1-00052-7502,No,1034-R1,114 LIBERTY STREET,FINANCIAL,R4-CONDOMINIUM,12,1913,65992,"$2,374,392 ",$36 ,"$729,872 ",$11 ,"$1,644,520 ","$6,787,002 ",$103 ,NA,1-00052-7502,1000527502,980842.3,197837.7,INITIAL_INSP,PO417930,3/16/12,Passed Inspection,INITIAL_INSP,PO234517,2/10/11,Passed Inspection,INITIAL_INSP,PO46932,1/14/10,Passed Inspection,NA,NA,NA,NA
1-00053-7501,No,1572-R1,120 GREENWICH STREET,FINANCIAL,R4-CONDOMINIUM,102,1903,71985,"$2,988,097 ",$42 ,"$848,703 ",$12 ,"$2,139,394 ","$16,151,989 ",$224 ,NA,1-00053-7501,1000537501,980525.9,197597.7,INITIAL_INSP,PO417905,3/15/12,Passed Inspection,INITIAL_INSP,PO234538,2/10/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00053-7502,No,2071-R1,123 WASHINGTON STREET,FINANCIAL,R4-CONDOMINIUM,160,2007,215467,"$7,752,503 ",$36 ,"$2,383,065 ",$11 ,"$5,369,438 ","$39,629,986 ",$184 ,NA,1-00053-7502,1000537502,980466.4,197631.3,INITIAL_INSP,PO417906,3/15/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00055-0014,NA,NA,71 WEST STREET,FINANCIAL,D8-ELEVATOR,207,1926,250472,"$7,600,058 ",$30 ,"$2,328,789 ",$9 ,"$5,271,269 ","$39,429,000 ",$157 ,0.4,1-00055-0014,1000550014,980220.6,197566.5,INITIAL_INSP,PO417934,3/16/12,Passed Inspection,INITIAL_INSP,PO234560,2/11/11,Passed Inspection,INITIAL_INSP,PO46969,1/15/10,Passed Inspection,NA,NA,NA,NA
1-00056-0004,NA,NA,90 WEST STREET,FINANCIAL,D5-ELEVATOR,411,1908,357001,"$12,170,164 ",$34 ,"$4,259,022 ",$12 ,"$7,911,142 ","$58,640,000 ",$164 ,0.3,1-00056-0004,1000560004,980315.4,197937.8,INITIAL_INSP,PO417935,3/19/12,Passed Inspection,INITIAL_INSP,PO234557,2/11/11,Passed Inspection,INITIAL_INSP,PO46971,1/15/10,Passed Inspection,NA,NA,NA,NA
1-00065-0006,NA,NA,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,"$1,152,144 ",$30 ,"$437,724 ",$12 ,"$714,420 ","$5,342,000 ",$141 ,0.08,1-00065-0006,1000650006,981787.9,197737.9,INITIAL_INSP,PO417565,3/2/12,Passed Inspection,INITIAL_INSP,PO235662,2/9/11,Passed Inspection,INITIAL_INSP,PO53327,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00065-7501,No,0021-R1,65 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,29,1920,28550,"$848,506 ",$30 ,"$254,952 ",$9 ,"$593,554 ","$4,449,000 ",$156 ,NA,1-00065-7501,1000657501,981843.3,197760.3,INITIAL_INSP,PO417568,3/2/12,Passed Inspection,INITIAL_INSP,PO53336,1/29/10,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00068-7501,No,1648-R1,80 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,145,1927,186512,"$7,885,727 ",$42 ,"$1,960,241 ",$11 ,"$5,925,486 ","$44,711,007 ",$240 ,NA,1-00068-7501,1000687501,982353.6,197261.3,INITIAL_INSP,PO417798,3/5/12,Passed Inspection,INITIAL_INSP,PO235673,2/9/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00068-7502,No,1885-R1,90 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,113,1967,112213,"$4,744,366 ",$42 ,"$1,179,359 ",$11 ,"$3,565,007 ","$26,900,017 ",$240 ,NA,1-00068-7502,1000687502,982176.7,197227.2,INITIAL_INSP,PO417799,3/5/12,Passed Inspection,INITIAL_INSP,PO233638,3/28/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00069-0018,NA,NA,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,652,2003,627330,"$27,484,973 ",$44 ,"$7,780,640 ",$12 ,"$19,704,333 ","$148,410,000 ",$237 ,0.48,1-00069-0018,1000690018,982340.2,196993.4,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00069-7502,No,1062-R1,90 JOHN STREET,FINANCIAL,RR-CONDOMINIUM,221,1931,214364,"$7,055,000 ",$33 ,"$2,020,000 ",$9 ,"$5,035,000 ","$37,493,000 ",$175 ,NA,1-00069-7502,1000697502,982456,197173.2,INITIAL_INSP,PO417812,3/6/12,Passed Inspection,INITIAL_INSP,PO235686,2/9/11,Passed Inspection,INITIAL_INSP,PO53678,4/13/10,Passed Inspection,INITIAL_INSP,PO52814,1/21/10,Passed Inspection
1-00072-7501,No,0065-R1,170 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,14,1982,24362,"$835,129 ",$34 ,"$188,806 ",$8 ,"$646,323 ","$4,789,000 ",$197 ,NA,1-00072-7501,1000727501,983067.8,196465.9,INITIAL_INSP,PO416340,3/2/12,Passed Inspection,INITIAL_INSP,PO235704,2/10/11,Passed Inspection,INITIAL_INSP,PO52886,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00076-7501,No,1800-R1,15 CLIFF STREET,FINANCIAL,RR-CONDOMINIUM,156,2000,142626,"$4,812,280 ",$34 ,"$1,059,660 ",$7 ,"$3,752,620 ","$24,970,000 ",$175 ,NA,1-00076-7501,1000767501,982691.6,197368.3,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00076-7502,No,1935-R1,99 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,441,2003,348157,"$14,476,368 ",$42 ,"$4,223,144 ",$12 ,"$10,253,224 ","$77,405,999 ",$222 ,NA,1-00076-7502,1000767502,982604.8,197344.9,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00077-0001,NA,NA,87 JOHN STREET,FINANCIAL,D7-ELEVATOR,163,1926,160000,"$5,562,279 ",$35 ,"$1,836,313 ",$11 ,"$3,725,966 ","$27,581,000 ",$172 ,0.18,1-00077-0001,1000770001,982460.6,197426.1,INITIAL_INSP,PO417720,3/8/12,Passed Inspection,INITIAL_INSP,PO235574,2/14/11,Passed Inspection,INITIAL_INSP,PO52846,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00078-7503,No,1023-R1,80 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,11,1900,31738,"$1,126,699 ",$36 ,"$292,942 ",$9 ,"$833,757 ","$6,163,000 ",$194 ,NA,1-00078-7503,1000787503,982079.6,197864.5,INITIAL_INSP,PO417699,3/8/12,Passed Inspection,INITIAL_INSP,PO235067,2/8/11,Passed Inspection,INITIAL_INSP,PO53350,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00078-7504,No,1060-R1,9 DUTCH STREET,FINANCIAL,RR-CONDOMINIUM,19,1930,28775,"$850,301 ",$30 ,"$314,356 ",$11 ,"$535,945 ","$3,751,000 ",$130 ,NA,1-00078-7504,1000787504,982167.4,197832.6,INITIAL_INSP,PO417704,3/8/12,Passed Inspection,INITIAL_INSP,PO235072,2/8/11,Passed Inspection,INITIAL_INSP,PO53351,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00078-7505,No,1310-R1,39 JOHN STREET,FINANCIAL,R9-CONDOMINIUM,14,1930,17122,"$763,299 ",$45 ,"$242,276 ",$14 ,"$521,023 ","$3,922,000 ",$229 ,NA,1-00078-7505,1000787505,981998.9,197799.1,INITIAL_INSP,PO417700,3/8/12,Passed Inspection,INITIAL_INSP,PO235068,2/8/11,Passed Inspection,INITIAL_INSP,PO53355,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00078-7506,No,1329-R1,102 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,14,1910,22613,"$905,425 ",$40 ,"$264,346 ",$12 ,"$641,079 ","$4,845,000 ",$214 ,NA,1-00078-7506,1000787506,982350.2,197784.9,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00078-7507,No,1627-R1,111 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,73,1909,89994,"$3,333,378 ",$37 ,"$691,154 ",$8 ,"$2,642,224 ","$19,447,000 ",$216 ,NA,1-00078-7507,1000787507,982231.5,197599.7,INITIAL_INSP,PO417713,3/8/12,Passed Inspection,INITIAL_INSP,PO235568,2/14/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00079-7502,No,1543-R1,130 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,21,1900,66930,"$2,408,141 ",$36 ,"$740,246 ",$11 ,"$1,667,895 ","$12,305,999 ",$184 ,NA,1-00079-7502,1000797502,982010.4,198028.4,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00079-7503,No,1551-R1,71 NASSAU STREET,FINANCIAL,R4-CONDOMINIUM,67,1906,66575,"$2,395,369 ",$36 ,"$736,320 ",$11 ,"$1,659,049 ","$12,240,999 ",$184 ,NA,1-00079-7503,1000797503,981892.3,197859.6,INITIAL_INSP,PO417510,2/29/12,Passed Inspection,INITIAL_INSP,PO235054,2/9/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00090-7501,No,1121-R1,15 PARK ROW,SOUTHBRIDGE,R4-CONDOMINIUM,210,1896,196837,"$6,407,044 ",$33 ,"$1,979,777 ",$10 ,"$4,427,267 ","$30,017,000 ",$153 ,NA,1-00090-7501,1000907501,982083.8,198337.5,INITIAL_INSP,PO417488,2/29/12,Passed Inspection,INITIAL_INSP,PO53473,2/2/10,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00090-7502,No,1137-R1,105 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,9,1923,20883,"$664,288 ",$32 ,"$244,331 ",$12 ,"$419,957 ","$3,140,000 ",$150 ,NA,1-00090-7502,1000907502,982188.5,198219.8,INITIAL_INSP,PO417494,2/29/12,Passed Inspection,INITIAL_INSP,PO235011,2/7/11,Passed Inspection,INITIAL_INSP,PO53463,2/2/10,Passed Inspection,NA,NA,NA,NA
1-00091-7502,No,1969-R1,111 FULTON STREET,SOUTHBRIDGE,R4-CONDOMINIUM,163,1940,191740,"$6,685,974 ",$35 ,"$2,300,880 ",$12 ,"$4,385,094 ","$32,452,994 ",$169 ,NA,1-00091-7502,1000917502,982420.4,197923.4,INITIAL_INSP,PO417695,3/7/12,Passed Inspection,INITIAL_INSP,PO235038,2/8/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00095-7501,No,0118-R1,117 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,22,1983,37170,"$1,254,859 ",$34 ,"$444,182 ",$12 ,"$810,677 ","$6,017,001 ",$162 ,NA,1-00095-7501,1000957501,983307.4,197109.9,COMPLIANCE_INSP,PO230998,1/31/11,Passed Inspection,INITIAL_INSP,PO416353,3/5/12,Passed Inspection,INITIAL_INSP,PO230998,1/4/11,Active Rat Signs,NA,NA,NA,NA
1-00097-0026,NA,NA,229 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,1900,14400,"$534,309 ",$37 ,"$165,637 ",$12 ,"$368,672 ","$2,713,000 ",$188 ,0.56,1-00097-0026,1000970026,983730.9,197020.7,INITIAL_INSP,PO416372,3/5/12,Passed Inspection,INITIAL_INSP,PO235632,2/11/11,Passed Inspection,INITIAL_INSP,PO53549,1/26/10,Passed Inspection,NA,NA,NA,NA
1-00097-7502,No,1218-R1,130 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,18,1900,23044,"$733,030 ",$32 ,"$269,608 ",$12 ,"$463,422 ","$3,455,999 ",$150 ,NA,1-00097-7502,1000977502,983480.9,197067.6,INITIAL_INSP,PO416391,3/6/12,Passed Inspection,INITIAL_INSP,PO235621,2/9/11,Passed Inspection,INITIAL_INSP,PO53591,1/26/10,Passed Inspection,NA,NA,NA,NA
